agent,nplayers,max_steps,epochs,action_min,action_max,nactions,greedy,nstates,eps_end,gamma
ActorCritic,1,100,1000,0,1,100,0,1,0,0.995
ActorCritic,1,100,1000,0,1,100,0,1,0,0.995
ActorCritic,1,100,1000,0,1,100,0,1,0,0.995
ActorCritic,1,100,1000,0,1,100,0,1,0,0.995
ActorCritic,1,100,1000,0,1,100,0,1,0,0.995
ActorCritic,2,100,1000,0,1,100,0,1,0,0.995
ActorCritic,2,100,1000,0,1,100,0,1,0,0.995
ActorCritic,2,100,1000,0,1,100,0,1,0,0.995
ActorCritic,2,100,1000,0,1,100,0,1,0,0.995
ActorCritic,2,100,1000,0,1,100,0,1,0,0.995
ActorCritic,3,100,1000,0,1,100,0,1,0,0.995
ActorCritic,3,100,1000,0,1,100,0,1,0,0.995
ActorCritic,3,100,1000,0,1,100,0,1,0,0.995
ActorCritic,3,100,1000,0,1,100,0,1,0,0.995
ActorCritic,3,100,1000,0,1,100,0,1,0,0.995
ActorCritic,4,100,1000,0,1,100,0,1,0,0.995
ActorCritic,4,100,1000,0,1,100,0,1,0,0.995
ActorCritic,4,100,1000,0,1,100,0,1,0,0.995
ActorCritic,4,100,1000,0,1,100,0,1,0,0.995
ActorCritic,4,100,1000,0,1,100,0,1,0,0.995
SAC,1,100,1000,0,1,1,0,1,0,0.995
SAC,1,100,1000,0,1,1,0,1,0,0.995
SAC,1,100,1000,0,1,1,0,1,0,0.995
SAC,1,100,1000,0,1,1,0,1,0,0.995
SAC,1,100,1000,0,1,1,0,1,0,0.995
SAC,2,100,1000,0,1,1,0,1,0,0.995
SAC,2,100,1000,0,1,1,0,1,0,0.995
SAC,2,100,1000,0,1,1,0,1,0,0.995
SAC,2,100,1000,0,1,1,0,1,0,0.995
SAC,2,100,1000,0,1,1,0,1,0,0.995
SAC,3,100,1000,0,1,1,0,1,0,0.995
SAC,3,100,1000,0,1,1,0,1,0,0.995
SAC,3,100,1000,0,1,1,0,1,0,0.995
SAC,3,100,1000,0,1,1,0,1,0,0.995
SAC,3,100,1000,0,1,1,0,1,0,0.995
SAC,4,100,1000,0,1,1,0,1,0,0.995
SAC,4,100,1000,0,1,1,0,1,0,0.995
SAC,4,100,1000,0,1,1,0,1,0,0.995
